Precinct,Phone,Address,Latitude,Longitude
72nd Precinct,718-965-6311,830 4th Avenue,40.65833,-74.00086
73rd Precinct,718-495-5411,1470 East New York Avenue,40.67083,-73.91358
75th Precinct,718-827-3511,1000 Sutter Avenue,40.67121,-73.88154
76th Precinct,718-834-3211,191 Union Street,40.68383,-74.00017
77th Precinct,718-735-0611,127 Utica Avenue,40.67466,-73.93022
78th Precinct,718-636-6411,65 6th Avenue,40.67534,-73.99421
79th Precinct,718-636-6611,263 Tompkins Avenue,40.68879,-73.9449
81st Precinct,718-574-0411,30 Ralph Avenue,40.68968,-73.92444
83rd Precinct,718-574-1605,480 Knickerbocker Avenue,40.69814,-73.91786
84th Precinct,718-875-6811,301 Gold Street,40.69555,-73.98286
88th Precinct,718-636-6511,298 Classon Avenue,40.68999,-73.96053
90th Precinct,718-963-5311,211 Union Avenue,40.7063,-73.95069
94th Precinct,718-383-3879,100 Meserole Avenue,40.7267,-73.95319
100th Precinct,718-318-4200,92-24 Rockaway Beach Boulevard,40.85627,-73.81592
101st Precinct,718-868-3400,16-12 Mott Avenue,40.60293,-73.75004
102nd Precinct,718-805-3200,87-34 118th Street,40.69872,-73.83156
103rd Precinct,718-657-8181,168-02 P.O Edward Byrne Ave.,40.70708,-73.79264
104th Precinct,718-386-3004,64-2 Catalpa Avenue,40.70435,-73.89363
105th Precinct,718-776-9090,92-08 222nd Street,40.72623,-73.73519
106th Precinct,718-845-2211,103-53 101st Street,40.6822,-73.83976
107th Precinct,718-969-5100,71-01 Parsons Boulevard,40.72993,-73.81069
108th Precinct,718-784-5411,5-47 50th Avenue,40.74308,-73.95467
109th Precinct,718-321-2250,37-05 Union Street,40.76238,-73.82704
110th Precinct,718-476-9311,94-41 43rd Avenue,40.74523,-73.8701
111th Precinct,718-279-5200,45-06 215th Street,40.76026,-73.7678
112th Precinct,718-520-9311,68-40 Austin Street,40.7224,-73.85159
113th Precinct,718-712-7733,167-02 Baisley Boulevard,40.67981,-73.77564
114th Precinct,718-626-9311,34-16 Astoria Boulevard,40.76927,-73.91528
115th Precinct,718-533-2002,92-15 Northern Boulevard,40.75683,-73.87547
120th Precinct,718-876-8500,78 Richmond Terrace,40.64469,-74.0774
121st Precinct,718-697-8700,970 Richmond Avenue,40.62361,-74.14986
122nd Precinct,718-667-2211,2320 Hylan Boulevard,40.5741,-74.10558
123rd Precinct,718-948-9311,116 Main Street,40.5119,-74.24989
