X,Y,OBJECTID,source,ext_id,cat1,cat2,cat3,org_name,Name,addrln1,addrln2,city,state,hours,phones,email,url,info1,info2,post_id,description,zip,link,use_type,latitude,longitude,date_updated,dis_status,POINT_X,POINT_Y
-118.132478056548,34.1895739070589,2127,211,,Public Safety,Sheriff and Police Stations,Sheriff Stations,LA County Sheriff,Altadena Sheriff Station,780 E. Altadena Dr.,,Altadena,CA,"Monday, 11:00am to 1:30pm; Tuesday, 3:30pm to 5:00pm; Friday, 11:00am to 2:00pm.",Service/Intake (626) 798-1131,,http://www.lasd.org/stations/for1/altadena/index.html ,,,2331,"The department provides correctional programs, disaster services, environmental services, holiday assistance, law enforcement services, substance abuse services and youth services for the unincorporated areas of Los Angeles County and contracting cities.",91001,http://egis3.lacounty.gov/lms/?p=2331,publish,34.18957394,-118.132478,2013/05/29 09:57:21+00,,6521607.01079914,1891396.31033148
-118.445727885752,33.9695412567765,2128,211,,Public Safety,Sheriff and Police Stations,Sheriff Stations,LA County Sheriff,Marina Del Rey Sheriff Station,13851 Fiji Way,,Marina Del Rey,CA,"Monday, 7:30am to 4:0pm; Tuesday through Thursday, 7:30am to 8:00pm; and Friday, 7:30am to 4:00pm.",Service/Intake (310) 482-6000,,http://www.lasd.org/stations/for2/mdr/index.html,,,2342,"The department provides correctional programs, disaster services, environmental services, holiday assistance, law enforcement services, substance abuse services and youth services for the unincorporated areas of Los Angeles County and contracting cities.",90292,http://egis3.lacounty.gov/lms/?p=2342,publish,33.96954129,-118.44572783,2013/05/29 10:24:04+00,,6426520.93916063,1811595.44204639
-118.714184815887,34.1373567163377,2129,211,,Public Safety,Sheriff and Police Stations,Sheriff Stations,LA County Sheriff,Malibu/Lost Hills Sheriff Station,27050 Agoura Rd.,,Calabasas,CA,"Monday, 8:00am to 7:00pm; Tuesday through Thursday, 8:00am to 5:00pm; Friday, 8:00am to 2:00pm.",Service/Intake (818) 878-1808,,http://www.lasd.org/stations/for1/malibu_lhill/index.html,,,2347,"The department provides correctional programs, disaster services, environmental services, holiday assistance, law enforcement services, substance abuse services and youth services for the unincorporated areas of Los Angeles County and contracting cities.",91301,http://egis3.lacounty.gov/lms/?p=2347,publish,34.13735675,-118.71418476,2013/05/29 10:08:33+00,,6345556.98396289,1873134.87375732
-118.069381766905,33.9142241572352,2134,211,,Public Safety,Sheriff and Police Stations,Sheriff Stations,LA County Sheriff,Norwalk Sheriff Station,12335 Civic Center Dr.,,Norwalk,CA,"Monday, Tuesday and Thursday, 12:00 noon to 7:00pm; Wednesday, 12:00 noon to 6:00pm; Saturday, 10:00am to 5:00pm.","Safe Drug Drop Off Location (Medication Disposal) Service/Intake (323) 267-4800,  Service/Intake (562) 863-8711",,http://www.lasd.org/stations/for3/norwalk/index.html,,,2369,"The department provides correctional programs, disaster services, environmental services, holiday assistance, law enforcement services, substance abuse services and youth services for the unincorporated areas of Los Angeles County and contracting cities.",90650,http://egis3.lacounty.gov/lms/?p=2369,publish,33.91422419,-118.06938171,2013/05/29 10:17:29+00,,6540619.10039955,1791171.9494289
-118.320554545514,33.7854429372159,2137,211,,Public Safety,Sheriff and Police Stations,Sheriff Stations,LA County Sheriff,Lomita Sheriff Station,26123 S. Narbonne Ave.,,Lomita,CA,"Monday, Tuesday, 8:00am to 5:00pm; Wednesday and Thursday, 8:00am to 9:00pm; Friday, 9:00am to 5:00pm; Saturday, 8:00am to 5:00pm.","Safe Drug Drop Off Location (Medication Disposal) Service/Intake (323) 267-4800,  Service/Intake (310) 539-1661",,http://www.lasd.org/stations/for2/lomita/index.html,,,2373,"The department provides correctional programs, disaster services, environmental services, holiday assistance, law enforcement services, substance abuse services and youth services for the unincorporated areas of Los Angeles County and contracting cities.",90717,http://egis3.lacounty.gov/lms/?p=2373,publish,33.78544297,-118.32055449,2013/05/29 10:15:10+00,,6464261.00934964,1744453.25579298
-118.388431055374,33.8453079669495,2138,211,,Public Safety,Sheriff and Police Stations,Police Stations,www.redondo.org/police,City Of Redondo Beach Police Department,401 Diamond St.,,Redondo Beach,CA,"Monday through Sunday, 24 hours per day. ","Direct Dispatch - Emergency Number Service/Intake (310) 379-5411, Direct Dispatch - Non Emergency Number (desk officer) Service/Intake (310) 379-2477 Ext.1-2351",,www.redondo.org/police,,,2376,The police department provides law enforcement services for residents of Redondo Beach.,90277,http://egis3.lacounty.gov/lms/?p=2376,publish,33.845308,-118.388431,2013/06/01 11:50:56+00,,6443719.14196889,1766312.31673355
-117.889006057361,34.0897789672391,2142,211,,Public Safety,Sheriff and Police Stations,Police Stations,www.ci.covina.ca.us/police,City Of Covina Police Department,444 N. Citrus Ave.,,Covina,CA,"Monday through Sunday, 24 hours per day. ","Direct Dispatch - Emergency Number Service/Intake (626) 384-5808, Graffiti Hotline Service/Intake (626) 384-5599, Non-emergency Service/Intake (626) 384-5595,  Information Only (626) 331-3391",,www.ci.covina.ca.us/police,,,2392,The department provides law enforcement services for the city of Covina.,91723,http://egis3.lacounty.gov/lms/?p=2392,publish,34.089779,-117.889006,2013/06/01 11:50:56+00,,6595276.66792147,1855071.25437281
-118.137744557837,34.6990298661746,2146,211,,Public Safety,Sheriff and Police Stations,Sheriff Stations,LA County,Lancaster Sheriff Station,501 W. Lancaster Blvd.,,Lancaster,CA,"Monday, Tuesday, Wednesday, and Friday, 9:00am to 11:30pm.",Service/Intake (661) 948-8466,,http://www.lasd.org/stations/for1/lancaster/index.html,,,2399,"The department provides correctional programs, disaster services, environmental services, holiday assistance, law enforcement services, substance abuse services and youth services for the unincorporated areas of Los Angeles County and contracting cities.",93534,http://egis3.lacounty.gov/lms/?p=2399,publish,34.6990299,-118.1377445,2013/05/29 10:05:16+00,,6520268.40258397,2076800.64883964
-118.117007076741,34.5862449161355,2147,211,,Public Safety,Sheriff and Police Stations,Sheriff Stations,LA County Sheriff,Palmdale Sheriff Station,750 East Ave. Q,,Palmdale,CA,"Monday, Tuesday, Wednesday, and Friday, 9:00am to 11:30pm.","Service/Intake (661) 272-2400,  FAX (661) 272-2413, Parking Enforcement / Abandoned Vehichles Service/Intake (661) 267-5436",,http://www.lasd.org/stations/for1/palmdale/index.html,,,2400,"The department provides correctional programs, disaster services, environmental services, holiday assistance, law enforcement services, substance abuse services and youth services for the unincorporated areas of Los Angeles County and contracting cities.",93550,http://egis3.lacounty.gov/lms/?p=2400,publish,34.58624495,-118.11700702,2013/05/29 10:24:48+00,,6526453.69434722,2035747.12727231
-117.958772837391,34.0249704170282,2148,211,,Public Safety,Sheriff and Police Stations,Sheriff Stations,LA County Sheriff,Industry Sheriff Station,150 N. Hudson Ave.,,Industry,CA,"Monday, Tuesday,Thursday, 8:30am to 5:00pm; Wednesday, 11:30am to 8:00pm; Friday, 9:30am to 5:00pm.","Service/Intake (626) 330-3322,  Service/Intake (909) 595-3649",,http://www.lasd.org/stations/for3/industry/index.html,,,2405,"The department provides correctional programs, disaster services, environmental services, holiday assistance, law enforcement services, substance abuse services and youth services for the unincorporated areas of Los Angeles County and contracting cities.",91744,http://egis3.lacounty.gov/lms/?p=2405,publish,34.02497045,-117.95877278,2013/05/29 10:13:18+00,,6574162.62517589,1831470.17329423
-118.391590755593,33.7997554869829,2153,211,,Public Safety,Sheriff and Police Stations,Police Stations,www.pvestates.org,City Of Palos Verdes Estates Police Department,340 Palos Verdes Dr W,,Palos Verdes Estates,CA,"Monday through Sunday, 24 hours per day. ","Community Relations Officer Service/Intake (310) 378-4211 Ext.2118, Direct Dispatch - Emergency Number Emergency (310) 378-5211, Direct Dispatch - Non Emergency Number Service/Intake (310) 378-4211,  TDD (310) 373-8018",,www.pvestates.org,,,2420,The department provides law enforcement services for the city of Palos Verdes Estates.,90274,http://egis3.lacounty.gov/lms/?p=2420,publish,33.79975552,-118.3915907,2013/06/01 11:50:56+00,,6442695.08824272,1749738.4161544
-118.126629526881,34.0919335766317,2156,211,,Public Safety,Sheriff and Police Stations,Police Stations,www.cityofalhambra.org,Alhambra Police Department,211 S. First St.,,Alhambra,CA,24 hours per day. ,"Watch Commander Service/Intake (626) 570-5130, Direct Dispatch - Emergency and Non-Emergency Number Service/Intake (626) 570-5151, 24-hour General Information Service/Intake and Administration (626) 570-5168",,www.cityofalhambra.org,,,2431,The department provides law enforcement services for the city of Alhambra.,91801,http://egis3.lacounty.gov/lms/?p=2431,publish,34.09193361,-118.12662947,2014/12/24 09:31:16+00,,6523330.92992347,1855860.94865955
-118.088892156649,33.9819146667651,2158,211,,Public Safety,Sheriff and Police Stations,Sheriff Stations,LA County Sheriff,Pico Rivera Sheriff Station,6631 S. Passons Blvd.,,Pico Rivera,CA,"Office hours are Monday through Friday, 8:00am to 4:00pm and 5:45pm to 9:30pm.",Service/Intake (562) 949-2421,,http://www.lasd.org/stations/for3/pico-rivera/index.html,,,2437,"The department provides correctional programs, disaster services, environmental services, holiday assistance, law enforcement services, substance abuse services and youth services for the unincorporated areas of Los Angeles County and contracting cities.",90660,http://egis3.lacounty.gov/lms/?p=2437,publish,33.9819147,-118.0888921,2013/05/29 10:16:25+00,,6534721.20274656,1815810.6580254
-118.307637555834,33.8837265369269,2159,211,,Public Safety,Sheriff and Police Stations,Police Stations,www.gardenapd.org,City Of Gardena Police Department,1718 W 162Nd St,,Gardena,CA,"Monday through Sunday, 24 hours per day. ","Direct Dispatch - Emergency and Non-Emergency Number Service/Intake (310) 323-7911,  Service/Intake and Administration (310) 217-9670, Records Service/Intake (310) 217-9600, Custody Information Service/Intake (310) 217-9632",,www.gardenapd.org,,,2440,The department provides law enforcement services for the city of Gardena.,90247,http://egis3.lacounty.gov/lms/?p=2440,publish,33.88372657,-118.3076375,2013/06/01 11:50:56+00,,6468295.64826196,1780208.77122407
-118.248869056866,34.1469269670901,2160,211,,Public Safety,Sheriff and Police Stations,Police Stations,police.ci.glendale.ca.us,City Of Glendale Police Department,131 N. Isabel St.,,Glendale,CA,"Monday through Sunday, 24 hours per day. ","Direct Dispatch - Emergency and Non-Emergency Number Service/Intake (818) 548-4911, General Info Service/Intake and Administration (818) 548-4840, Records Service/Intake (818) 548-3135, Youth Services - Day Service/Intake (818) 548-4037, Traffic Accident ",,police.ci.glendale.ca.us,,,2449,The department provides law enforcement services for the city of Glendale.,91206,http://egis3.lacounty.gov/lms/?p=2449,publish,34.146927,-118.248869,2013/06/01 11:50:56+00,,6486370.27320188,1875943.12863947
-118.076033646703,34.1028315771342,2170,211,,Public Safety,Sheriff and Police Stations,Sheriff Stations,LA County Sheriff,Temple Sheriff Station,8838 E. Las Tunas Dr.,,Temple City,CA,"Saturday, 8:00am to 1:00pm.",Service/Intake (626) 285-7171,,http://www.lasd.org/stations/for1/temple/index.html,,,2461,"The department provides correctional programs, disaster services, environmental services, holiday assistance, law enforcement services, substance abuse services and youth services for the unincorporated areas of Los Angeles County and contracting cities.",91780,http://egis3.lacounty.gov/lms/?p=2461,publish,34.10283161,-118.07603359,2013/05/29 10:19:09+00,,6538652.75787555,1859811.49226764
-118.185705056328,33.8446389676784,2173,211,,Public Safety,Sheriff and Police Stations,Police Stations,www.longbeach.gov/police/,Long Beach Police Department - North Patrol Division,4891 Atlantic Ave.,,Long Beach,CA,"Monday through Sunday, 24 hour sper day. ","Service/Intake and Hotline (562) 570-9800, Direct Dispatch - Emergency and Non-Emergency Number Service/Intake (562) 435-6711",,www.longbeach.gov/police/,,,2464,"The agency provides community services, law enforcement and mental health services for people who live in the city of Long Beach.",90807,http://egis3.lacounty.gov/lms/?p=2464,publish,33.844639,-118.185705,2013/06/01 11:50:56+00,,6505278.48276073,1765893.04427814
-118.215631056217,33.790484967575,2174,211,,Public Safety,Sheriff and Police Stations,Police Stations,www.longbeach.gov/police/,Long Beach Police Department - West Patrol Division,1835 Santa Fe Ave.,,Long Beach,CA,"Monday through Sunday, 24 hours per day. ","Service/Intake and Hotline (562) 570-3409, Direct Dispatch - Emergency and Non-Emergency Number Service/Intake (562) 435-6711",,www.longbeach.gov/police/,,,2465,"The agency provides community services, law enforcement and mental health services for people who live in the city of Long Beach.",90810,http://egis3.lacounty.gov/lms/?p=2465,publish,33.790485,-118.215631,2013/06/01 11:50:56+00,,6496148.78153197,1746203.14993098
-118.13782005609,33.7928649677133,2175,211,,Public Safety,Sheriff and Police Stations,Police Stations,www.longbeach.gov/police/,Long Beach Police Department - East Patrol Division,4800 Los Coyotes Diagonal,,Long Beach,CA,"Monday through Sunday, 24 hours per day. ","Service/Intake (562) 570-5880, Direct Dispatch - Emergency and Non-Emergency Number Service/Intake (562) 435-6711",,www.longbeach.gov/police/,,,2466,"The agency provides community services, law enforcement and mental health services for people who live in the city of Long Beach.",90815,http://egis3.lacounty.gov/lms/?p=2466,publish,33.792865,-118.13782,2013/06/01 11:50:56+00,,6519793.57052839,1747027.72899048
-118.197253055753,33.768985967793,2176,211,,Public Safety,Sheriff and Police Stations,Police Stations,www.longbeach.gov/police/,Long Beach Police Department - South Patrol Division,400 W. Broadway,,Long Beach,CA,"Monday through Sunday, 24 hours per day. ","General Information Service/Intake (562) 570-7260, Direct Dispatch - Emergency and Non-Emergency number Service/Intake (562) 435-6711",,www.longbeach.gov/police/,,,2467,"The agency provides community services, law enforcement and mental health services for people who live in the city of Long Beach.",90802,http://egis3.lacounty.gov/lms/?p=2467,publish,33.768986,-118.197253,2013/06/01 11:50:56+00,,6501717.75267747,1738367.60162573
-118.387567055633,33.8383629672155,2371,211,,Public Safety,Sheriff and Police Stations,Police Stations,www.redondo.org/police,Redondo Beach Police Department - Pier Sub Station,133 W. Torrance Blvd.,,Redondo Beach,CA,"Hours vary; contact the agency for site hours. ",Direct Dispatch - Non Emergency Number (desk officer) Service/Intake (310) 379-2477 Ext.1-2351,,www.redondo.org/police,,,2641,The police department provides law enforcement services for residents of Redondo Beach.,90277,http://egis3.lacounty.gov/lms/?p=2641,publish,33.838363,-118.387567,2013/06/01 11:50:56+00,,6443971.75826155,1763783.85984823
-117.865451357067,34.1350575767224,3180,HSIP Freedom Manual,,Public Safety,Sheriff and Police Stations,Police Stations,LA County,Glendora Police Department,150 S Glendora Ave,,Glendora,CA,24 hours,Phone: (626) 914-8250 - Fax (626) 963-2154,police@glendorapd.org,http://www.ci.glendora.ca.us/index.aspx?page=47,,,3307,Overview  The Department Provides Law Enforcement Services For The City Of Glendora.,91741,http://egis3.lacounty.gov/lms/?p=3307,publish,34.13505761,-117.8654513,2010/11/01 19:50:56+00,,6602386.4089513,1871557.67907706
-118.344184155512,33.8915015070889,3182,Current Services Locator,,Public Safety,Sheriff and Police Stations,Sheriff Stations,LA County,Lawndale Sheriff Service Center,15331 Prairie Ave.,,Lawndale,CA,,(310) 219-2750 (Primary),,http://www.lasd.org/stations/for2/lennox/lawndale.html,,,3310,,90260,http://egis3.lacounty.gov/lms/?p=3310,publish,33.89150154,-118.3441841,2011/10/04 18:54:44+00,,6457212.68847255,1783074.21726482
-118.35432535641,33.9614764572796,3316,Current Services Locator,,Public Safety,Sheriff and Police Stations,Police Stations,LA County,Inglewood Police Department,1 Manchester Blvd.,,Inglewood,CA,"Monday through Thursday, 8:00am to 9:00pm; Friday, 8:00am to 4:00pm.","Administration Administrative (310) 412-5200, Community Affairs Service/Intake (310) 412-5530, 24 Hour Info/Front Desk Service/Intake (310) 412-5211, Direct Dispatch - Emergency and Non-Emergency Number Service/Intake (310) 412-877",,cityofinglewood.org/depts/police/default.asp,,,4125,The Agency Provides Law Enforcement Services For The City Of Inglewood.,90301,http://egis3.lacounty.gov/lms/?p=4125,publish,33.96147649,-118.3543253,2010/11/01 19:50:56+00,,6454224.67738822,1808550.21454106
-118.188466056537,33.9792409668757,3474,Current Services Locator,,Public Safety,Sheriff and Police Stations,Police Stations,LA County,Bell Police Department,6326 Pine Ave.,,Bell,CA,"Monday through Friday, 7:30am to 5:30pm.","Service/Intake and Administration (323) 588-6211, Bell Anonymous Tip Line Service/Intake (323) 923-2655,  FAX (323) 562-0410, Direct Dispatch - 24-Hours - Emergency Number Service/Intake (323) 585-124",,www.usacops.com/ca/p90201b,,,4280,The Department Provides Law Enforcement Services For The City Of Bell.,90201,http://egis3.lacounty.gov/lms/?p=4280,publish,33.979241,-118.188466,2015/07/09 10:43:42+00,,6504531.91076306,1814879.29112172
-118.308914456449,34.1828985965419,3475,Current Services Locator,,Public Safety,Sheriff and Police Stations,Police Stations,LA County,Burbank Police Department,200 N. Third St.,,Burbank,CA,"Monday through Friday, 8:00am to 4:30pm.","Business Calls Service/Intake (818) 238-3130,  Information Only (818) 238-3333, Vice/Narcotics Service/Intake (818) 238-3280, Jail Information Service/Intake (818) 238-3010, Traffic Bureau Service/Intake (818) 238-3100, Detective Bureau Service/Inta",,www.ci.burbank.ca.us/police,,,4281,The Department Provides Law Enforcement Services For The City Of Burbank.,91502,http://egis3.lacounty.gov/lms/?p=4281,publish,34.18289863,-118.3089144,2010/11/01 19:50:56+00,,6468242.67658314,1889084.20406331
-118.12666325686,33.9413627073305,3476,Current Services Locator,,Public Safety,Sheriff and Police Stations,Police Stations,LA County,Downey Police Department,10911 Brookshire Ave.,,Downey,CA,"Monday through Sunday, 24 hours per day.","FAX (562) 904-2384, Direct Dispatch - Emergency and Non-Emergency Service/Intake (562) 861-0771, Direct Dispatch - Emergency Number for Agencies Only Service/Intake (562) 904-236",,www.downeypd.org,,,4282,The Department Provides Law Enforcement Services For The City Of Downey.,90241,http://egis3.lacounty.gov/lms/?p=4282,publish,33.94136274,-118.1266632,2010/11/01 19:50:56+00,,6523251.67122371,1801065.21770006
-118.218923056334,33.9799629670561,55865,211,,Public Safety,Sheriff and Police Stations,Police Stations,www.huntingtonparkpd.org,City Of Huntington Park Police Department,6542 Miles Ave.,,Huntington Park,CA,"Monday through Sunday, 24 hours per day. ","Watch Commander Administrative (323) 826-6614, Chief Administrative (323) 826-6629, Detective Division Service/Intake and Administration (323) 826-6656, Records Service/Intake and Administration (323) 826-6611, Jail Service/Intake and Administration (323)",,www.huntingtonparkpd.org,,,57843,The agency provides law enforcement services for the city of Huntington Park.,90255,http://egis3.lacounty.gov/lms/?p=57843,publish,33.979963,-118.218923,2013/06/01 11:50:56+00,,6495298.65691988,1815160.75315723
-118.490387456335,34.0129445469276,57606,211,,Public Safety,Sheriff and Police Stations,Police Stations,www.santamonicapd.org,City Of Santa Monica Police Department,333 Olympic Blvd,,Santa Monica,CA,"Monday through Sunday, 24 hours per day. ","Parking Enforcement Service/Intake (310) 458-8466, General Information Service/Intake (310) 395-9931, Direct Dispatch - Emergency number Emergency (310) 458-8491, Community Relations Service/Intake (310) 458-8474, Domestic Crisis Unit Service/Intake (310)",,www.santamonicapd.org,,,59159,"The department provides domestic violence services, drug abuse services, law enforcement services and youth services for the City of Santa Monica.",90401,http://egis3.lacounty.gov/lms/?p=59159,publish,34.01294458,-118.4903874,2013/06/01 11:50:56+00,,6413056.84666631,1827453.66525115
-118.000061056876,34.1479489666795,57607,211,,Public Safety,Sheriff and Police Stations,Police Stations,www.cityofmonrovia.org,City Of Monrovia Police Department,140 E. Lime Ave.,,Monrovia,CA,"Monday through Sunday, 24 hours per day. ","Direct Dispatch - Emergency Number Emergency (626) 256-8088,  FAX (626) 256-8025,  Service/Intake (626) 256-8000",,www.cityofmonrovia.org,,,59160,The department provides drug abuse services for youth and law enforcement services for the city of Monrovia.,91016,http://egis3.lacounty.gov/lms/?p=59160,publish,34.147949,-118.000061,2013/06/01 11:50:56+00,,6561651.87034181,1876221.83936815
